,vin,stockNum,firstSeen,lastSeen,msrp,askPrice,mileage,isNew,color,interiorColor,brandName,modelName,dealerID,vf_ABS,vf_ActiveSafetySysNote,vf_AdaptiveCruiseControl,vf_AdaptiveDrivingBeam,vf_AdaptiveHeadlights,vf_AdditionalErrorText,vf_AirBagLocCurtain,vf_AirBagLocFront,vf_AirBagLocKnee,vf_AirBagLocSeatCushion,vf_AirBagLocSide,vf_AutoReverseSystem,vf_AutomaticPedestrianAlertingSound,vf_AxleConfiguration,vf_Axles,vf_BasePrice,vf_BatteryA,vf_BatteryA_to,vf_BatteryCells,vf_BatteryInfo,vf_BatteryKWh,vf_BatteryKWh_to,vf_BatteryModules,vf_BatteryPacks,vf_BatteryType,vf_BatteryV,vf_BatteryV_to,vf_BedLengthIN,vf_BedType,vf_BlindSpotMon,vf_BodyCabType,vf_BodyClass,vf_BrakeSystemDesc,vf_BrakeSystemType,vf_BusFloorConfigType,vf_BusLength,vf_BusType,vf_CAN_AACN,vf_CIB,vf_CashForClunkers,vf_ChargerLevel,vf_ChargerPowerKW,vf_CoolingType,vf_CurbWeightLB,vf_CustomMotorcycleType,vf_DaytimeRunningLight,vf_DestinationMarket,vf_DisplacementCC,vf_DisplacementCI,vf_DisplacementL,vf_Doors,vf_DriveType,vf_DriverAssist,vf_DynamicBrakeSupport,vf_EDR,vf_ESC,vf_EVDriveUnit,vf_ElectrificationLevel,vf_EngineConfiguration,vf_EngineCycles,vf_EngineCylinders,vf_EngineHP,vf_EngineHP_to,vf_EngineKW,vf_EngineManufacturer,vf_EngineModel,vf_EntertainmentSystem,vf_ForwardCollisionWarning,vf_FuelInjectionType,vf_FuelTypePrimary,vf_FuelTypeSecondary,vf_GCWR,vf_GCWR_to,vf_GVWR,vf_GVWR_to,vf_KeylessIgnition,vf_LaneDepartureWarning,vf_LaneKeepSystem,vf_LowerBeamHeadlampLightSource,vf_Make,vf_MakeID,vf_Manufacturer,vf_ManufacturerId,vf_Model,vf_ModelID,vf_ModelYear,vf_MotorcycleChassisType,vf_MotorcycleSuspensionType,vf_NCSABodyType,vf_NCSAMake,vf_NCSAMapExcApprovedBy,vf_NCSAMapExcApprovedOn,vf_NCSAMappingException,vf_NCSAModel,vf_NCSANote,vf_Note,vf_OtherBusInfo,vf_OtherEngineInfo,vf_OtherMotorcycleInfo,vf_OtherRestraintSystemInfo,vf_OtherTrailerInfo,vf_ParkAssist,vf_PedestrianAutomaticEmergencyBraking,vf_PlantCity,vf_PlantCompanyName,vf_PlantCountry,vf_PlantState,vf_PossibleValues,vf_Pretensioner,vf_RearCrossTrafficAlert,vf_RearVisibilitySystem,vf_SAEAutomationLevel,vf_SAEAutomationLevel_to,vf_SeatBeltsAll,vf_SeatRows,vf_Seats,vf_SemiautomaticHeadlampBeamSwitching,vf_Series,vf_Series2,vf_SteeringLocation,vf_SuggestedVIN,vf_TPMS,vf_TopSpeedMPH,vf_TrackWidth,vf_TractionControl,vf_TrailerBodyType,vf_TrailerLength,vf_TrailerType,vf_TransmissionSpeeds,vf_TransmissionStyle,vf_Trim,vf_Trim2,vf_Turbo,vf_VIN,vf_ValveTrainDesign,vf_VehicleType,vf_WheelBaseLong,vf_WheelBaseShort,vf_WheelBaseType,vf_WheelSizeFront,vf_WheelSizeRear,vf_Wheels,vf_Windows
1687420,0695c0879e18446e55980960c9a58d30d28545beddc034ebbfdd00ceb8061198,J34797,2020-02-05,2020-02-24,36285,36285,0,True,Granite Crystal,Black,JEEP,Cherokee,23971,Standard,,,,,,,1st Row (Driver & Passenger),,,All Rows,Standard,,,2.0,25740.0,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,3200.0,195.27598110314,3.2,4.0,4WD/4-Wheel Drive/4x4,,Standard,,Standard,,,V-Shaped,,6.0,271.0,,202.0847,FCA,,,,,Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,,,,,JEEP,483,FCA US LLC,994.0,Cherokee,1945.0,2020.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,BELVIDERE,BELVIDERE ASSEMBLY,UNITED STATES (USA),ILLINOIS,,,,Standard,,,Manual,2.0,5.0,Standard,Limited,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,9.0,Automatic,KL,,,0695c0879e18446e55980960c9a58d30d28545beddc034ebbfdd00ceb8061198,,MULTIPURPOSE PASSENGER VEHICLE (MPV),107.1,106.5,,,,4.0,
4167806,5e9d443adec5e23583187b4d316654c037b12444d1113d9492590b9c0c13938d,T71644,2019-07-02,2019-07-31,34347,32879,0,True,Midnight Black Metallic,Black,TOYOTA,RAV4,12320,Standard,,Standard,,,,All Rows,1st Row (Driver & Passenger),Driver Seat Only,Passenger Seat Only,1st Row (Driver & Passenger),Standard,,,2.0,29650.0,,,,,,,,,,,,,,Optional,,Wagon,,,Not Applicable,,Not Applicable,Standard,Standard,,,,,,Not Applicable,Standard,,2487.0,152.0,2.5,5.0,4WD/4-Wheel Drive/4x4,,Standard,,Standard,,,In-Line,4.0,4.0,203.0,,151.3771,Toyota,A25A-FKS,CD + stereo,Standard,Multipoint Fuel Injection (MPFI),Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,Standard,Standard,,TOYOTA,448,TOYOTA MOTOR MANUFACTURING CANADA,1085.0,RAV4,2217.0,2019.0,Not Applicable,Not Applicable,,,,,,,,RAV4 LE - FWD (4X2),,PORT+DIRECT,,,,,Standard,CAMBRIDGE,Toyota Motor Manufacturing Canada Inc.,CANADA,,,,,Standard,,,Manual,2.0,5.0,Standard,AXAA52L/AXAA54L/AXAH54L,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,8.0,Automatic,XLE Premium,,,5e9d443adec5e23583187b4d316654c037b12444d1113d9492590b9c0c13938d,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,105.9,,19.0,19.0,4.0,
2497363,0586346326338ee48709393785800925533e74d42777daad04a11ce701885d9f,,2019-11-14,2020-01-11,22995,22995,0,False,,,CHEVROLET,Traverse,28278,Standard,,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),Standard,,,2.0,26750.0,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,Standard,,3600.0,219.68547874103,3.6,4.0,FWD/Front Wheel Drive,,Standard,,Standard,,,V-Shaped,,6.0,,,,GM,LLT - SIDI: Spark Ignited Direct injection ALUM 60 Degrees,,,,Gasoline,,,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Traverse,1853.0,2017.0,Not Applicable,Not Applicable,,,,,,,,,,,,Front Inboard Seat Side Airbag in First Row.,,,,LANSING - DELTA TOWNSHIP,GMNA,UNITED STATES (USA),MICHIGAN,,,,Standard,,,Manual,3.0,7.0,Standard,1LT,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,6.0,Automatic,,,,0586346326338ee48709393785800925533e74d42777daad04a11ce701885d9f,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,118.9,,18.0,18.0,4.0,
5562918,95b28c0f62c8a954fb03f057db664928063c8b81290af79f29c5c30b8c3bdc3c,N183151,2018-12-12,2019-10-02,27015,27015,0,True,Alpine White,Black,JEEP,Renegade,1579,Standard,ParkSense Rear Park Assist: Optional; Electronic Roll Mitigation: Standard; Front Passenger Seat Belt Alert: Standard; Latch Ready Child Seat Anchor System: Standard; Panic Brake Assist: Standard; Occupant Detection System: Standard; Locking Glove Box: Standard; Remote-Start System: Optional,,,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,,,,2.0,23445.0,,,,,,,,,,,,,,Optional,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,Optional,,,,,,Not Applicable,Standard,,2400.0,146.45698582735,2.4,4.0,AWD/All Wheel Drive,,Optional,,Standard,,,,,4.0,180.0,,134.226,,,,Optional,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,Standard,Optional,Optional,,JEEP,483,FCA ITALY S.P.A.,1029.0,Renegade,6160.0,2018.0,Not Applicable,Not Applicable,,,,,,,,,,,,Active Seatbelts.,,,,MELFI,,ITALY,,,Yes,,Standard,,,Manual,,5.0,Optional,,,Left Hand Drive (LHD),,Direct,,,,Not Applicable,,Not Applicable,6.0,Manual/Standard,Latitude (North for Canada),,No,95b28c0f62c8a954fb03f057db664928063c8b81290af79f29c5c30b8c3bdc3c,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,101.2,,16.0,16.0,4.0,
2036130,e033d5634ef068a95ad2616149f22c8ff95eae72ebc00cf88fb6d458f0c6a706,W3048A,2017-09-14,2018-11-24,18999,17999,75613,False,Frost White Pearl,gray,HYUNDAI,Santa Fe,29403,,,,,,,1st & 2nd Rows,1st Row (Driver & Passenger),Driver Seat Only,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Wagon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2400.0,146.45698582735,2.4,4.0,4x2,,,,,,,,,,,,,,DOHC GDI Theta ,,,Stoichiometric gasoline direct injection (SGDI),Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,,,,HYUNDAI,498,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),1034.0,Santa Fe,2057.0,2013.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,Kia Motor Manufacturing Georgia,UNITED STATES (USA),GEORGIA,,,,,,,Manual,,,,Sport Popular / Sport Leather / Sport Tech / Sport Turbo / Sport Turbo leather,AN,,,Direct,,,,Not Applicable,,Not Applicable,,,Sport,,,e033d5634ef068a95ad2616149f22c8ff95eae72ebc00cf88fb6d458f0c6a706,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
5535274,242fd19bb1d4fe52825d9d93175fc0156b91b0ac0e3d047e90c79dd2cfb6425e,KH411663,2019-07-31,2019-08-21,33412,33412,7905,False,Sepia Bronze Metallic,Saddle Brown,SUBARU,Forester,3980,Standard,Pre-Collision Throttle Management: Standard,Standard,Standard,,,1st & 2nd Rows,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),1st Row (Driver & Passenger),Standard,,,2.0,34295.0,,,,,,,,,,,,,,Standard,,Wagon,,,Not Applicable,,Not Applicable,Standard,Standard,,,,,,Not Applicable,Standard,,2500.0,152.55936023683,2.5,,AWD/All Wheel Drive,,Standard,Standard,Standard,,,,,4.0,182.0,,135.7174,,Naturally Aspirated U5,,Standard,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,Standard,Standard,Standard,,SUBARU,523,FUJI HEAVY INDUSTRIES U.S.A. INC. (C/O SUBARU OF AMERICA),1075.0,Forester,2234.0,2019.0,Not Applicable,Not Applicable,,,,,,,,CWP : Cold Weather Pack  AP : LED HeadLight+BSD+HBA  H/K : Harman Kardon  ES : EyeSight  BSD: Blind Spot Detection  HBA: High Beam Assist  NAVI: Navigation HK =  Harman Kardon,,,,,,,,OTA,Yajima Plant,JAPAN,GUNMA,,,,Standard,,,Manual,2.0,5.0,Standard,,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),Touring + Eyesight + Navigation (HK) + SMART,,,242fd19bb1d4fe52825d9d93175fc0156b91b0ac0e3d047e90c79dd2cfb6425e,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,105.1,,18.0,18.0,4.0,
4739738,3a22f9c5d22569f96d53cba5c1f61f68c54346836544dbc4296806864406e0c8,M9138A,2019-04-20,2019-05-09,0,0,0,False,Victory Red,,CHEVROLET,Impala,5649,,,,,,,,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3500.0,213.58310433156,3.5,4.0,,,,,,,,V-Shaped,,6.0,,,,GM,LZE,,,Sequential Fuel Injection (SFI),Flexible Fuel Vehicle (FFV),,,,,,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Impala,1833.0,2009.0,Not Applicable,Not Applicable,,,,,,,,GM Code: 19 69,,,,Driver and Passenger Roof Airbags and Occupant Sensors,,,,OSHAWA #2,,CANADA,ONTARIO,,,,,,,Manual,,,,LS Sedan,,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,3a22f9c5d22569f96d53cba5c1f61f68c54346836544dbc4296806864406e0c8,Overhead Valve (OHV),PASSENGER CAR,,,,,,,
1685849,234e4dd870b72ebc2901a5ae6a035f4b60f2cb7e80c43488d72d4da9b2927896,X2264732A,2020-01-20,2020-02-06,21995,21995,53109,False,Obsidian,Black,LEXUS,RX,23971,,,,,,,All Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,All Rows,,,,,,,,,,,,,,,,,,,,,Wagon,,,Not Applicable,,Not Applicable,,,,,,Water,,Not Applicable,,,3456.0,213.58310433156,3.5,5.0,4WD/4-Wheel Drive/4x4,,,,,,,V-Shaped,,6.0,270.0,314.0,201.339,Toyota,2GR-FE,,,,Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,,,,,LEXUS,515,TOYOTA MOTOR MANUFACTURING CANADA,1085.0,RX,2214.0,2015.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,CAMBRIDGE,Toyota Motor Manufacturing Canada Inc,CANADA,ONTARIO,,,,,,,Manual,,,,GGL10L/GGL15L/GYL10L/GYL15L,,,,Direct,,,,Not Applicable,,Not Applicable,,,350,G grade,,234e4dd870b72ebc2901a5ae6a035f4b60f2cb7e80c43488d72d4da9b2927896,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
3937454,640c2e97877f4e74e22f9f9280f344cced997d4e3a462f1ee2b614c9a60a36da,,2018-11-02,2019-06-09,58490,48490,0,True,,,CADILLAC,XTS,39097,Standard,,,,,,All Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,1st & 2nd Rows,Standard,,,2.0,52895.0,,,,,,,,,,,,,Not Applicable,Optional,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Optional,,,,,,Not Applicable,Standard,,3600.0,219.68547874103,3.6,4.0,AWD/All Wheel Drive,,Standard,,Standard,,,,,6.0,,,,GM,LFX - SIDI: Spark Ignited Direct injection VVT: Variable Valve Timing E85 MAX ALUM,,Optional,,Gasoline,,,,,,Standard,Optional,Optional,,CADILLAC,469,GENERAL MOTORS LLC,984.0,XTS,1827.0,2019.0,Not Applicable,Not Applicable,,,,,,,,Body Type: 69 - Sedan/Notchback,,,,,,Standard,,OSHAWA #1,GMNA,CANADA,ONTARIO,,,,Standard,,,Manual,2.0,5.0,Standard,Luxury AWD,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,,,,,,640c2e97877f4e74e22f9f9280f344cced997d4e3a462f1ee2b614c9a60a36da,Dual Overhead Cam (DOHC),PASSENGER CAR,,111.7,,19.0,19.0,4.0,4.0
1682351,befa5beacf14926adc09ce71e33f9e87b6d088cde2f61d296b15bf836f2c1bdb,S11097PLA,2019-12-17,2020-01-02,25995,25995,13117,False,White,,TOYOTA,Camry,23971,Standard,(Blind Spot Detection - Optional: LE SE; Standard: XLE XSE XLE V6 XSE V6) (Keyless Ignition -Standard: XLE XSE XLE V6 XSE V6),Standard,,,,All Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,All Rows,Standard,,,2.0,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,2487.0,152.0,2.5,4.0,4x2,,Standard,,Standard,,,In-Line,4.0,4.0,206.0,,153.6142,Toyota,A25A-FKS,CD + stereo,Standard,Multipoint Fuel Injection (MPFI),Gasoline,,,,,,,Standard,Standard,,TOYOTA,448,TOYOTA MOTOR MANUFACTURING KENTUCKY INC.,1088.0,Camry,2469.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,PORT+DIRECT,,,,,Standard,,Toyota Motor Manufacturing Kentucky Inc,UNITED STATES (USA),KENTUCKY,,,,Standard,,,Manual,2.0,5.0,Standard,AXVA70L/GSV70L/AXVH70L/AXVH71L,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,8.0,Automatic,XSE,,,befa5beacf14926adc09ce71e33f9e87b6d088cde2f61d296b15bf836f2c1bdb,Dual Overhead Cam (DOHC),PASSENGER CAR,,111.2,,,,4.0,
