,Model Year,Make,Model,Sold Price,Mileage
0,2008,toyota,cruiser,6300,274117
1,2011,ford,se,2899,190552
2,2018,dodge,mpv,5350,39590
3,2014,ford,door,25000,64146
4,2018,chevrolet,1500,27700,6654
5,2018,dodge,mpv,5700,45561
6,2010,chevrolet,pk,7300,149050
7,2017,gmc,door,13350,23525
8,2018,chevrolet,malibu,14600,9371
9,2017,ford,mpv,5250,63418
10,2009,dodge,coupe,10400,107856
11,2017,gmc,mpv,12920,39650
12,2018,chevrolet,1500,31900,22909
13,2017,chrysler,wagon,5430,138650
14,2013,ford,door,20700,100757
15,2017,gmc,door,12710,25747
16,2018,kia,forte,5200,46194
17,2018,buick,encore,16500,20002
18,2017,ford,mpv,5210,35714
19,2013,ford,door,38100,54380
20,2017,gmc,door,12520,30114
21,2018,kia,forte,7300,38823
22,2015,chevrolet,door,15000,61578
23,2017,ford,mpv,6180,46010
24,2013,ford,door,20800,105510
25,2017,gmc,door,11900,28040
26,2020,kia,sorento,21500,11451
27,2014,buick,door,12000,31039
28,2017,ford,doors,4190,44174
29,2008,ford,chassis,13000,93698
30,2017,gmc,door,12710,26364
31,2016,infiniti,q70,18500,71967
32,1973,chevrolet,camaro,29800,46226
33,2017,ford,mpv,5330,37792
34,2003,ford,convertible,13000,58817
35,2017,gmc,door,11900,27965
36,2016,mercedes-benz,vans,16600,110907
37,2018,chevrolet,1500,19200,2430
38,2017,ford,mpv,7320,32366
39,2003,ford,pk,7000,176567
40,2017,gmc,door,12710,30049
41,2016,mercedes-benz,vans,16600,97983
42,2018,chevrolet,1500,30500,30442
43,2017,ford,mpv,6330,38123
44,2017,ford,srw,55000,15273
45,2017,gmc,door,12520,28972
46,2019,jeep,compass,16200,30061
47,2017,chevrolet,malibu,19000,18414
48,2017,dodge,mpv,5580,46829
49,2017,ford,srw,54000,26241
50,2017,gmc,mpv,12710,39886
51,2019,jeep,compass,16000,31594
52,2017,buick,enclave,27000,32107
53,2017,ford,mpv,7760,44794
54,2019,chrysler,300,19600,42648
55,2017,gmc,mpv,12920,39165
56,2019,jeep,cherokee,20000,38355
57,2017,buick,door,18100,46766
58,2020,chrysler,pacifica,23000,2473
59,2019,chrysler,300,18500,38586
60,2017,gmc,door,13490,27842
61,2019,jeep,cherokee,20700,31156
62,2017,chevrolet,door,17800,52435
63,2017,ford,door,6650,29942
64,2019,chrysler,pacifica,29100,25281
65,2017,gmc,door,12710,32504
66,2019,jeep,cherokee,21100,28649
